,Unnamed: 0,lfnr,krnr,agglvl,name,wkr,regbez,n206pop,n206wb,n206as,n206us,n206gs,n206dnvp,n206dvp,n206z,n206ddp,n206spd,n206uspd,n206kpd,n206bvpx,n206bbb,n206dmpx,n206ndvx,n206x,n245pop,n245wb,n245as,n245us,n245gs,n245dnvp,n245dvfp,n245dvp,n245z,n245ddp,n245spd,n245kpd,n245bvpx,n245wpx,n245dsp,n245uspd,n245x,n24dpop,n24dwb,n24das,n24dus,n24dgs,n24ddnvp,n24dnsfb,n24ddvp,n24dz,n24dddp,n24dspd,n24dkpd,n24dbvpx,n24dwpx,n24ddszx,n24duspd,n24dx,n285pop,n285wb,n285as,n285us,n285gs,n285spd,n285dnvp,n285zx,n285dvp,n285kpd,n285ddpx,n285wp,n285nsda,n285dbpx,n285dlvx,n285vrp,n285x,n309pop,n309wb,n309as,n309us,n309gs,n309spd,n309dnvp,n309zx,n309kpd,n309dvp,n309dstp,n309wp,n309nsda,n309dlvx,n309kvp,n309csvd,n309x,n327pop,n327wb,n327as,n327us,n327gs,n327spd,n327nsda,n327kpd,n327zx,n327dnvp,n327dvp,n327dlvx,n327dstp,n327wp,n327csvd,n327x,n32npop,n32nwb,n32nas,n32nus,n32ngs,n32nnsda,n32nspd,n32nkpd,n32nzx,n32ndnvp,n32ndvp,n32ndstp,n32ncsvd,n32nwp,n32nvb,n32nx,n333pop,n333wb,n333as,n333us,n333gs,n333nsda,n333spd,n333kpd,n333zx,n333kf,n333dvp,n333csvd,n333dbpx,n333dhp,n333dstp,n333x,agg2024,agg2424,agg2428,agg2830,agg3033,agg2833,agg3032,agg3232,agg3233,com,treatment
223,2922,2923,595,GEMEINDEN AB 2000 E.,CASTROP-RAUXEL,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0
224,2471,2472,509,GEMEINDEN AB 2000 E.,CLAUSTHAL-ZELLERFELD,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12457.0,8275.0,5998.0,89.0,5909.0,2656.0,472.0,87.0,885.0,136.0,413.0,701.0,229.0,3.0,255.0,38.0,34.0,12451.0,8213.0,6671.0,28.0,6643.0,2250.0,231.0,84.0,406.0,448.0,243.0,276.0,2305.0,6.0,205.0,168.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12451.0,8263.0,7395.0,58.0,7337.0,4338.0,1537.0,641.0,61.0,611.0,43.0,27.0,0.0,41.0,38.0,0.0,0,0,2472,2472,2472,2472,0,0,0,1,0
225,3894,3895,742,GEMEINDEN AB 2000 E.,CLEVE,23,1,17824.0,9231.0,8061.0,42.0,8019.0,134.0,1104.0,4959.0,458.0,1300.0,56.0,0.0,8.0,0.0,0.0,0.0,0.0,17824.0,10969.0,8811.0,191.0,8620.0,693.0,78.0,706.0,4499.0,305.0,312.0,963.0,0.0,110.0,23.0,32.0,899.0,17824.0,10809.0,9128.0,171.0,8957.0,550.0,39.0,740.0,5380.0,296.0,775.0,479.0,0.0,132.0,2.0,19.0,545.0,20241.0,12389.0,9478.0,203.0,9275.0,1100.0,767.0,4929.0,651.0,784.0,263.0,514.0,42.0,0.0,4.0,183.0,38.0,20241.0,13324.0,11031.0,105.0,10926.0,794.0,391.0,5234.0,1421.0,475.0,180.0,736.0,1232.0,13.0,101.0,144.0,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20241.0,16038.0,14641.0,81.0,14560.0,4009.0,955.0,1259.0,7371.0,735.0,140.0,56.0,0.0,0.0,35.0,0.0,3895,3895,3895,3895,3895,3895,0,0,0,1,0
226,1318,1319,287,GEMEINDEN AB 2000 E.,COSWIG,10,2,9491.0,5755.0,4943.0,22.0,4921.0,243.0,442.0,19.0,730.0,2860.0,598.0,22.0,0.0,0.0,0.0,7.0,0.0,9491.0,6168.0,5605.0,35.0,5570.0,271.0,104.0,1037.0,46.0,297.0,2029.0,1255.0,0.0,430.0,60.0,18.0,23.0,9491.0,6137.0,5521.0,17.0,5504.0,235.0,40.0,933.0,51.0,285.0,2610.0,704.0,0.0,517.0,4.0,0.0,125.0,10103.0,6490.0,5696.0,78.0,5618.0,2966.0,305.0,25.0,608.0,679.0,387.0,351.0,41.0,21.0,4.0,19.0,212.0,10103.0,6789.0,6335.0,63.0,6272.0,2606.0,122.0,31.0,1443.0,294.0,145.0,391.0,1018.0,39.0,34.0,15.0,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10103.0,7197.0,6805.0,73.0,6732.0,2279.0,2565.0,1304.0,43.0,433.0,45.0,12.0,3.0,1.0,47.0,0.0,1319,1319,1319,1319,1319,1319,0,0,0,1,0
227,430,431,114,GEMEINDEN AB 2000 E.,KUESTRIN,5,1,18522.0,11670.0,9443.0,10.0,9433.0,2982.0,1111.0,350.0,1460.0,1871.0,1385.0,274.0,0.0,0.0,0.0,0.0,0.0,18522.0,12567.0,10147.0,116.0,10031.0,5907.0,322.0,576.0,288.0,410.0,1506.0,540.0,79.0,21.0,235.0,73.0,74.0,18522.0,12577.0,10295.0,141.0,10154.0,5003.0,387.0,620.0,367.0,730.0,2588.0,251.0,0.0,48.0,94.0,31.0,35.0,19463.0,13094.0,10412.0,125.0,10287.0,3271.0,4226.0,289.0,422.0,406.0,645.0,351.0,179.0,13.0,8.0,241.0,236.0,20098.0,14153.0,11811.0,51.0,11760.0,2584.0,3446.0,337.0,875.0,183.0,312.0,164.0,3451.0,26.0,61.0,244.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20098.0,14733.0,13066.0,90.0,12976.0,7225.0,2245.0,839.0,403.0,1976.0,83.0,103.0,0.0,0.0,102.0,0.0,431,431,431,431,431,431,0,0,0,1,0
228,5951,5952,1170,GEMEINDEN AB 2000 E.,DARMSTADT,33,1,82367.0,56793.0,44460.0,62.0,44398.0,1722.0,17779.0,2696.0,6252.0,12966.0,2787.0,196.0,0.0,0.0,0.0,0.0,0.0,82367.0,62896.0,49400.0,254.0,49146.0,5529.0,4190.0,13017.0,3052.0,3622.0,13268.0,2987.0,146.0,619.0,0.0,168.0,2548.0,82367.0,63668.0,51383.0,556.0,50827.0,8195.0,1076.0,14495.0,3236.0,4714.0,17475.0,1281.0,128.0,171.0,0.0,37.0,19.0,89465.0,68227.0,47674.0,342.0,47332.0,15402.0,3885.0,3146.0,13697.0,2229.0,3766.0,334.0,1429.0,0.0,146.0,2559.0,739.0,89465.0,66236.0,55182.0,510.0,54672.0,15536.0,1405.0,3532.0,3987.0,9089.0,3602.0,1033.0,13341.0,128.0,477.0,1717.0,825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89465.0,70006.0,62287.0,435.0,61852.0,30932.0,14161.0,4874.0,4296.0,3147.0,2492.0,1195.0,7.0,0.0,748.0,0.0,5952,5952,5952,5952,5952,5952,0,0,0,1,0
229,2614,2615,533,GEMEINDEN AB 2000 E.,DATTELN,17,1,20002.0,9363.0,8012.0,15.0,7997.0,1.0,510.0,3046.0,138.0,759.0,2529.0,243.0,0.0,0.0,0.0,0.0,771.0,20002.0,10759.0,8962.0,317.0,8645.0,334.0,93.0,539.0,3210.0,172.0,991.0,2752.0,0.0,0.0,76.0,232.0,246.0,20002.0,11117.0,9112.0,283.0,8829.0,484.0,37.0,560.0,3590.0,259.0,1931.0,1762.0,0.0,53.0,19.0,35.0,99.0,20114.0,11143.0,9132.0,171.0,8961.0,2072.0,493.0,2218.0,879.0,1685.0,187.0,1169.0,50.0,0.0,20.0,22.0,166.0,20114.0,11486.0,10026.0,103.0,9923.0,1697.0,802.0,2499.0,2636.0,667.0,47.0,783.0,569.0,11.0,20.0,85.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20114.0,12096.0,11103.0,183.0,10920.0,2629.0,1845.0,2286.0,2794.0,1095.0,175.0,83.0,1.0,1.0,11.0,0.0,2615,2615,2615,2615,2615,2615,0,0,0,1,0
230,1336,1337,289,GEMEINDEN AB 2000 E.,DELITZSCH,11,1,13865.0,8589.0,7763.0,33.0,7730.0,505.0,1426.0,94.0,1137.0,1161.0,3350.0,57.0,0.0,0.0,0.0,0.0,0.0,13865.0,9294.0,8231.0,158.0,8073.0,1345.0,683.0,1158.0,130.0,621.0,1004.0,2570.0,0.0,162.0,66.0,160.0,174.0,13865.0,9335.0,8290.0,179.0,8111.0,1774.0,131.0,1209.0,171.0,855.0,1378.0,2177.0,0.0,333.0,6.0,23.0,54.0,14892.0,9976.0,8388.0,143.0,8245.0,1628.0,1035.0,149.0,866.0,2415.0,506.0,1141.0,103.0,7.0,11.0,181.0,203.0,14892.0,10658.0,9443.0,110.0,9333.0,1480.0,316.0,159.0,2878.0,715.0,599.0,1052.0,1476.0,98.0,112.0,215.0,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14892.0,11394.0,10315.0,85.0,10230.0,4069.0,1523.0,2893.0,214.0,1045.0,165.0,158.0,6.0,0.0,157.0,0.0,1337,1337,1337,1337,1337,1337,0,0,0,1,0
231,538,539,137,GEMEINDEN AB 2000 E.,DEMMIN,6,1,12001.0,7847.0,6618.0,28.0,6590.0,1572.0,1953.0,59.0,785.0,1302.0,886.0,28.0,0.0,2.0,0.0,0.0,3.0,12001.0,8810.0,6474.0,92.0,6382.0,3113.0,267.0,286.0,84.0,125.0,702.0,945.0,0.0,338.0,74.0,0.0,448.0,12001.0,8058.0,6930.0,86.0,6844.0,3366.0,241.0,540.0,124.0,206.0,1137.0,655.0,0.0,529.0,9.0,0.0,37.0,12787.0,8689.0,7497.0,83.0,7414.0,2584.0,2295.0,94.0,547.0,377.0,218.0,456.0,33.0,3.0,13.0,331.0,463.0,12983.0,8936.0,7901.0,82.0,7819.0,2411.0,1938.0,68.0,569.0,182.0,95.0,301.0,2129.0,9.0,37.0,26.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12983.0,9412.0,8313.0,76.0,8237.0,4429.0,1523.0,843.0,77.0,1206.0,94.0,25.0,1.0,0.0,35.0,4.0,539,539,539,539,539,539,0,0,0,1,0
232,2860,2861,587,GEMEINDEN AB 2000 E.,DETMOLD,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0
