,Unnamed: 0,lfnr,krnr,agglvl,name,wkr,regbez,agg2833k,agg2833v,krnrv,c25wohn,c25lselb,c25lgewb,c25langs,c25larb,c25lmith,c25iselb,c25igewb,c25iangs,c25iarb,c25imith,c25hselb,c25hangs,c25harb,c25hmith,c25vselb,c25vangs,c25varb,c25vmith,c25gselb,c25ggewb,c25gangs,c25garb,c25gmith,c25dselb,c25dgewb,c25dangs,c25darb,c25dmith,c25dhaus,c25bland,c25bwerk,c25bhand,c25bverw,c25bgsun,c25bhaus,c25selb,c25hsgew,c25anges,c25arbei,c25mith,c25berwt,c25bbrlo,c25pop,c25prot,c25kath,c25juden,c33pop1,c33erwp,c33werwp,c33erwtt,c33erlos,c33brlos,c33aohb,c33waohb,c33land,c33indu,c33hndl,c33dnst,c33haus,c33selb,c33mith,c33beamt,c33angs,c33arbei,c33hsang,c33eloan,c33eloar,c33eloha,c33pop2,c33lv,rwz1,rwz2a,rwz2b,rwz2c,rwz2d,rwz3,rwz4a,rwz4b,rwz4c,rwz5,rwz6,rwz7,rwz8a,rwz8b,rwz8c,rwz8d,rwz9,rwz10a,rwz10b,rwz10c,rwz11,alos30d,alu30d,kru30d,we30d,alos31d,alu31d,kru31d,we31d,alos32d,alu32d,kru32d,we32d,com,treatment
22,1159,1160,262,GEMEINDEN AB 2000 E.,WERNIGERODE,10,1,1160,1160,262,19636.0,229.0,0.0,48.0,445.0,118.0,1711.0,26.0,914.0,6476.0,99.0,1255.0,1139.0,1049.0,162.0,227.0,896.0,130.0,6.0,178.0,0.0,119.0,133.0,12.0,3.0,0.0,54.0,270.0,0.0,680.0,840.0,9200.0,3605.0,1259.0,442.0,1007.0,3603.0,26.0,3170.0,8503.0,397.0,16353.0,3283.0,22516.0,21126.0,543.0,25.0,23296.0,9352.0,2948.0,7292.0,2060.0,3346.0,10598.0,7917.0,456.0,2796.0,2189.0,1197.0,654.0,1728.0,621.0,440.0,1144.0,2726.0,633.0,156.0,1838.0,66.0,23296.0,1123.0,19636.0,9540.0,8862.0,9.0,78.0,5547.0,283.0,588.0,129.0,25613.0,18893.0,172630.0,331.0,478.0,177.0,14.0,6.0,4940.0,236.0,371.0,710.0,1580.0,795.0,164.0,621.0,2012.0,593.0,643.0,776.0,1831.0,273.0,385.0,1173.0,1,0
23,2583,2584,529,GEMEINDEN AB 2000 E.,WERNE A. D. LIPPE,17,1,2584,2584,529,11627.0,541.0,0.0,42.0,329.0,518.0,647.0,1.0,468.0,6463.0,42.0,406.0,255.0,76.0,92.0,50.0,311.0,42.0,0.0,54.0,0.0,57.0,52.0,3.0,4.0,0.0,14.0,49.0,0.0,203.0,1430.0,7620.0,829.0,403.0,166.0,270.0,1702.0,1.0,1147.0,7011.0,655.0,10718.0,909.0,11627.0,1906.0,9431.0,33.0,12254.0,4875.0,1440.0,3713.0,1162.0,870.0,6509.0,4359.0,1164.0,1565.0,476.0,318.0,190.0,614.0,836.0,120.0,318.0,1636.0,189.0,61.0,1065.0,36.0,12254.0,1674.0,11627.0,9914.0,9599.0,7.0,73.0,2221.0,241.0,578.0,181.0,10930.0,11300.0,97405.0,109.0,463.0,392.0,36.0,13.0,1971.0,118.0,132.0,75.0,,,,,,,,,,,,,1,0
24,3844,3845,735,GEMEINDEN AB 2000 E.,WERMELSKIRCHEN,22,1,3874,3874,735,15638.0,541.0,0.0,25.0,160.0,328.0,3030.0,1785.0,860.0,6551.0,147.0,973.0,576.0,420.0,167.0,75.0,336.0,24.0,0.0,69.0,0.0,14.0,14.0,2.0,3.0,0.0,14.0,146.0,0.0,220.0,1054.0,10588.0,2136.0,435.0,99.0,383.0,4691.0,1785.0,1825.0,7315.0,644.0,14695.0,943.0,15630.0,11658.0,1869.0,7.0,16170.0,8124.0,2535.0,6368.0,1756.0,1192.0,6854.0,5196.0,953.0,3883.0,1071.0,272.0,189.0,1308.0,715.0,157.0,647.0,3357.0,184.0,167.0,1562.0,27.0,16170.0,1240.0,15638.0,9275.0,8199.0,0.0,0.0,4115.0,549.0,400.0,51.0,14823.0,15597.0,143800.0,116.0,462.0,379.0,43.0,25.0,3815.0,88.0,212.0,313.0,,,,,,,,,,,,,1,0
25,2889,2890,589,GEMEINDEN AB 2000 E.,WERDOHL,18,1,2890,2890,589,12253.0,126.0,0.0,28.0,74.0,125.0,714.0,2.0,1268.0,7727.0,28.0,444.0,446.0,176.0,65.0,28.0,198.0,25.0,0.0,63.0,0.0,15.0,19.0,2.0,1.0,0.0,15.0,68.0,0.0,228.0,353.0,9737.0,1131.0,251.0,99.0,312.0,1376.0,2.0,1970.0,8089.0,220.0,11883.0,370.0,12253.0,8757.0,3107.0,4.0,12188.0,5357.0,1163.0,4275.0,1082.0,782.0,6049.0,4556.0,317.0,2860.0,666.0,213.0,219.0,576.0,319.0,145.0,670.0,2348.0,217.0,121.0,938.0,23.0,12188.0,425.0,12253.0,8983.0,7571.0,27.0,136.0,2766.0,514.0,411.0,75.0,10695.0,12137.0,109890.0,95.0,390.0,438.0,77.0,46.0,2361.0,174.0,231.0,96.0,,,,,,,,,,,,,1,0
26,5827,5298,1058,stadtkreise,WERDAU,30,2,5298,5298,1058,21047.0,68.0,0.0,12.0,98.0,52.0,1506.0,13.0,1832.0,10580.0,114.0,1170.0,1466.0,515.0,183.0,125.0,731.0,49.0,2.0,133.0,0.0,75.0,64.0,6.0,0.0,0.0,5.0,28.0,0.0,387.0,230.0,14032.0,3334.0,907.0,278.0,420.0,3002.0,13.0,4121.0,11334.0,357.0,19201.0,1846.0,21047.0,19371.0,763.0,6.0,21587.0,11453.0,4548.0,8930.0,2523.0,2256.0,7878.0,5681.0,174.0,6068.0,1719.0,646.0,323.0,1374.0,497.0,501.0,1067.0,5176.0,315.0,351.0,2110.0,62.0,21587.0,315.0,21047.0,7092.0,4560.0,57.0,200.0,6065.0,547.0,407.0,46.0,22364.0,21487.0,197205.0,161.0,513.0,296.0,30.0,15.0,5244.0,338.0,483.0,666.0,1898.0,918.0,526.0,454.0,2111.0,456.0,577.0,1078.0,2503.0,261.0,546.0,1696.0,1,0
27,990,991,230,GEMEINDEN AB 2000 E.,WEISSWASSER,8,1,991,991,218,12388.0,114.0,0.0,1.0,30.0,70.0,556.0,12.0,991.0,8058.0,29.0,422.0,553.0,196.0,85.0,49.0,236.0,44.0,1.0,70.0,0.0,19.0,34.0,1.0,0.0,0.0,5.0,37.0,0.0,222.0,215.0,9634.0,1256.0,330.0,124.0,264.0,1211.0,12.0,1805.0,8399.0,186.0,11823.0,565.0,12588.0,9239.0,2632.0,27.0,13494.0,6921.0,2078.0,5786.0,1135.0,878.0,5695.0,4157.0,196.0,4325.0,778.0,346.0,141.0,601.0,269.0,163.0,671.0,3943.0,139.0,85.0,1034.0,16.0,13494.0,272.0,12388.0,6952.0,3596.0,700.0,2259.0,3072.0,703.0,274.0,23.0,10097.0,12361.0,112790.0,74.0,404.0,436.0,86.0,60.0,2573.0,250.0,249.0,208.0,,,,,,,,,,,,,1,0
28,844,845,202,GEMEINDEN AB 2000 E.,WEISSSTEIN,7,1,845,845,202,11106.0,60.0,0.0,6.0,116.0,76.0,332.0,4.0,854.0,6959.0,31.0,212.0,302.0,95.0,44.0,42.0,250.0,13.0,0.0,44.0,0.0,46.0,42.0,1.0,0.0,0.0,6.0,17.0,0.0,201.0,258.0,8176.0,653.0,305.0,133.0,224.0,690.0,4.0,1464.0,7242.0,152.0,9749.0,1357.0,17506.0,11388.0,4222.0,21.0,18454.0,6857.0,1550.0,5450.0,1407.0,2373.0,9224.0,6759.0,234.0,3875.0,767.0,353.0,221.0,525.0,266.0,143.0,671.0,3625.0,220.0,171.0,1081.0,155.0,18454.0,379.0,16594.0,4548.0,1671.0,2169.0,4742.0,4507.0,896.0,93.0,11.0,9494.0,16853.0,149920.0,36.0,223.0,396.0,345.0,303.0,3963.0,252.0,292.0,438.0,,,,,,,,,,,,,1,0
29,1459,1460,307,stadtkreise,WEISSENFELS,11,1,1460,1460,307,36756.0,100.0,0.0,67.0,439.0,42.0,2540.0,78.0,2951.0,16318.0,139.0,1830.0,3126.0,1882.0,243.0,201.0,1778.0,208.0,3.0,228.0,0.0,146.0,172.0,6.0,10.0,1.0,70.0,344.0,0.0,713.0,648.0,21948.0,7081.0,2190.0,552.0,1137.0,4909.0,79.0,8138.0,19363.0,433.0,33556.0,3200.0,36756.0,33246.0,1451.0,132.0,40119.0,17801.0,5096.0,12823.0,4978.0,3525.0,18793.0,13632.0,294.0,6879.0,3422.0,1680.0,548.0,2052.0,545.0,1360.0,2198.0,6143.0,525.0,704.0,4150.0,124.0,40119.0,752.0,36756.0,6340.0,3527.0,175.0,572.0,9637.0,512.0,434.0,54.0,36466.0,37620.0,339530.0,145.0,464.0,329.0,62.0,38.0,7883.0,743.0,1011.0,885.0,3569.0,1450.0,524.0,1595.0,4421.0,1064.0,1015.0,2342.0,4471.0,350.0,774.0,3347.0,1,0
30,5925,5926,1166,GEMEINDEN AB 2000 E.,WEINHEIM,32,4,5926,5926,1166,15793.0,332.0,0.0,21.0,99.0,643.0,1122.0,21.0,1359.0,7005.0,62.0,712.0,898.0,310.0,208.0,110.0,611.0,114.0,3.0,118.0,0.0,80.0,77.0,1.0,0.0,0.0,8.0,183.0,0.0,419.0,1095.0,9548.0,2128.0,838.0,276.0,610.0,2394.0,21.0,2977.0,7788.0,917.0,14495.0,1298.0,15793.0,11271.0,4026.0,157.0,17486.0,7305.0,1882.0,6008.0,1297.0,1429.0,8752.0,6315.0,462.0,3486.0,1129.0,581.0,350.0,1093.0,493.0,374.0,806.0,2908.0,334.0,206.0,1057.0,34.0,17486.0,785.0,15793.0,9729.0,9195.0,0.0,0.0,3898.0,433.0,494.0,73.0,15663.0,15892.0,142765.0,143.0,468.0,337.0,52.0,32.0,3482.0,189.0,227.0,230.0,,,,,,,,,,,,,1,0
31,1681,1682,349,stadtkreise,WEIMAR,12,1,1682,1682,349,45957.0,218.0,0.0,144.0,917.0,107.0,3920.0,266.0,2004.0,9925.0,238.0,2946.0,5437.0,1935.0,464.0,1526.0,4986.0,381.0,7.0,425.0,0.0,289.0,351.0,10.0,6.0,5.0,9.0,163.0,0.0,2173.0,1386.0,16087.0,10782.0,6900.0,1075.0,2351.0,9041.0,271.0,12869.0,13672.0,826.0,38581.0,7376.0,45957.0,42408.0,2008.0,105.0,49327.0,22010.0,7489.0,17800.0,4210.0,6767.0,20550.0,15179.0,625.0,5311.0,5585.0,4573.0,1706.0,3330.0,584.0,2505.0,4515.0,5197.0,1669.0,925.0,3075.0,210.0,49327.0,1284.0,45957.0,8644.0,7105.0,21.0,85.0,12396.0,297.0,575.0,128.0,56688.0,45256.0,414640.0,265.0,518.0,196.0,21.0,11.0,9868.0,1327.0,1201.0,1663.0,2712.0,1285.0,504.0,923.0,3399.0,936.0,858.0,1605.0,3810.0,546.0,776.0,2488.0,1,0
