DATE,Gemeinde,YEAR,MONTH,tot_unt_Arbeitslose_Einw,aircraft
1935-02-01,Wismar,1935,2,10.114052076608566,0.0
1936-02-01,Wismar,1936,2,21.562734785875282,1088.95
1932-02-01,Aachen,1932,2,59.395702052027794,0.0
1933-02-01,Aachen,1933,2,46.35258358662614,0.0
1934-02-01,Aachen,1934,2,41.56955829269642,0.0
1935-02-01,Aachen,1935,2,43.78252508309832,0.0
1936-02-01,Aachen,1936,2,45.7217786369037,0.0
1932-02-01,Aalen,1932,2,52.70070595961254,0.0
1933-02-01,Aalen,1933,2,36.21147501408224,0.0
1934-02-01,Aalen,1934,2,11.815082071207677,0.0
1935-02-01,Aalen,1935,2,18.808777429467085,0.0
1936-02-01,Aalen,1936,2,2.6807598039215685,0.0
1932-02-01,Ahlen,1932,2,50.6108202443281,0.0
1933-02-01,Ahlen,1933,2,25.347540164821442,0.0
1934-02-01,Ahlen,1934,2,15.028673126359502,0.0
1935-02-01,Ahlen,1935,2,22.600889736256754,0.0
1936-02-01,Ahlen,1936,2,22.89559608186669,0.0
1932-02-01,Allenstein,1932,2,42.39995809763251,0.0
1933-02-01,Allenstein,1933,2,42.28030820247732,0.0
1934-02-01,Allenstein,1934,2,17.68947209792966,0.0
1935-02-01,Allenstein,1935,2,26.562752196269226,0.0
1936-02-01,Allenstein,1936,2,22.099575632493103,0.0
1932-02-01,Alsdorf,1932,2,26.199740596627755,0.0
1933-02-01,Alsdorf,1933,2,5.061384348873992,0.0
1934-02-01,Alsdorf,1934,2,2.297674418604651,0.0
1935-02-01,Alsdorf,1935,2,19.56312401804267,0.0
1936-02-01,Alsdorf,1936,2,18.963593955988237,0.0
1932-02-01,Altena,1932,2,59.69779539261828,0.0
1933-02-01,Altena,1933,2,27.106364374492536,0.0
1934-02-01,Altena,1934,2,6.663314055820971,0.0
1935-02-01,Altena,1935,2,4.999382792247871,0.0
1936-02-01,Altena,1936,2,1.8000124138787164,0.0
1932-02-01,Altenburg,1932,2,51.576402094044184,0.0
1933-02-01,Altenburg,1933,2,32.42269588712098,0.0
1934-02-01,Altenburg,1934,2,27.696028106677616,0.0
1935-02-01,Altenburg,1935,2,24.689104392470053,0.0
1936-02-01,Altenburg,1936,2,26.401355559626303,0.0
1932-02-01,Altmark (Stendal),1932,2,47.70068576038725,0.0
1933-02-01,Altmark (Stendal),1933,2,36.1870852888817,0.0
1934-02-01,Altmark (Stendal),1934,2,13.793103448275861,0.0
1935-02-01,Altmark (Stendal),1935,2,11.893700055751719,0.0
1936-02-01,Altmark (Stendal),1936,2,26.320778564206268,0.0
1932-02-01,Altona,1932,2,64.49244459294887,0.0
1933-02-01,Altona,1933,2,41.43983719155431,0.0
1934-02-01,Altona,1934,2,35.71944748415336,0.0
1935-02-01,Altona,1935,2,28.833193010688024,0.0
1936-02-01,Altona,1936,2,26.11739364566505,0.0
1932-02-01,Amberg,1932,2,65.80846054530265,0.0
1933-02-01,Amberg,1933,2,44.83675579849313,0.0
1934-02-01,Amberg,1934,2,34.41537292367821,0.0
1935-02-01,Amberg,1935,2,32.70166642088188,0.0
1936-02-01,Amberg,1936,2,29.200044298423713,0.0
1932-02-01,Ammendorf,1932,2,104.5005666180994,0.0
1933-02-01,Ammendorf,1933,2,54.93171471927162,0.0
1934-02-01,Ammendorf,1934,2,17.971014492753625,0.0
1935-02-01,Ammendorf,1935,2,9.78757340680055,0.0
1936-02-01,Ammendorf,1936,2,14.285714285714285,0.0
1932-02-01,Andernach,1932,2,43.00146792159572,0.0
1933-02-01,Andernach,1933,2,24.805832937074022,0.0
1934-02-01,Andernach,1934,2,10.450880859958195,0.0
1935-02-01,Andernach,1935,2,15.291494106403313,0.0
1936-02-01,Andernach,1936,2,15.482841181165202,0.0
1932-02-01,Anklam,1932,2,80.80671358960477,0.0
1933-02-01,Anklam,1933,2,57.5281777314483,0.0
1934-02-01,Anklam,1934,2,2.9154518950437316,0.0
1935-02-01,Anklam,1935,2,0.4,0.0
1936-02-01,Anklam,1936,2,34.060202350279646,0.0
1932-02-01,Annaberg,1932,2,71.49917627677101,0.0
1933-02-01,Annaberg,1933,2,49.54695438118682,0.0
1934-02-01,Annaberg,1934,2,33.05324964567726,0.0
1935-02-01,Annaberg,1935,2,34.78743815005554,0.0
1936-02-01,Annaberg,1936,2,25.11265252392284,0.0
1932-02-01,Ansbach,1932,2,44.29976324895283,0.0
1933-02-01,Ansbach,1933,2,40.86346273429866,0.0
1934-02-01,Ansbach,1934,2,21.416732094565123,0.0
1935-02-01,Ansbach,1935,2,11.300168853097805,0.0
1936-02-01,Ansbach,1936,2,15.2983615107132,0.0
1932-02-01,Apolda,1932,2,75.30647985989492,0.0
1933-02-01,Apolda,1933,2,42.12637913741224,0.0
1934-02-01,Apolda,1934,2,43.10809354456299,0.0
1935-02-01,Apolda,1935,2,58.60147402480676,0.0
1936-02-01,Apolda,1936,2,40.59875080766746,0.0
1932-02-01,Arnsberg,1932,2,28.006449970296188,0.0
1933-02-01,Arnsberg,1933,2,15.992631667085321,0.0
1934-02-01,Arnsberg,1934,2,7.295639197479688,0.0
1935-02-01,Arnsberg,1935,2,7.787903893951947,0.0
1936-02-01,Arnsberg,1936,2,11.967646087817762,0.0
1932-02-01,Arnstadt,1932,2,73.19996312344428,0.0
1933-02-01,Arnstadt,1933,2,36.739170169987204,0.0
1934-02-01,Arnstadt,1934,2,27.420892540972442,0.0
1935-02-01,Arnstadt,1935,2,34.19966435342677,0.0
1936-02-01,Arnstadt,1936,2,35.19912909371315,0.0
1932-02-01,Arnswalde,1932,2,82.61507427104347,0.0
1933-02-01,Arnswalde,1933,2,56.33432626598914,0.0
1934-02-01,Arnswalde,1934,2,18.90631623569309,0.0
1935-02-01,Arnswalde,1935,2,50.602818814739344,0.0
1936-02-01,Arnswalde,1936,2,48.302207130730054,0.0
1932-02-01,Aschaffenburg,1932,2,31.00023507287259,0.0
1933-02-01,Aschaffenburg,1933,2,22.37599614304756,0.0
1934-02-01,Aschaffenburg,1934,2,16.030070200652258,0.0
1935-02-01,Aschaffenburg,1935,2,14.10150891632373,0.0
1936-02-01,Aschaffenburg,1936,2,14.903912622701506,0.0
1932-02-01,Aschersleben,1932,2,55.30903881765138,0.0
1933-02-01,Aschersleben,1933,2,43.627211074599735,0.0
1934-02-01,Aschersleben,1934,2,26.439113100650484,0.0
1935-02-01,Aschersleben,1935,2,21.4854667411962,0.0
1936-02-01,Aschersleben,1936,2,22.600846657103872,0.0
1932-02-01,Aue,1932,2,78.10047095761381,0.0
1933-02-01,Aue,1933,2,56.01364799545067,0.0
1934-02-01,Aue,1934,2,40.68150208623088,0.0
1935-02-01,Aue,1935,2,36.89395402742901,0.0
1936-02-01,Aue,1936,2,31.595270401240548,0.0
1932-02-01,Auerbach i. Vogtld.,1932,2,61.80036110394635,0.0
1933-02-01,Auerbach i. Vogtld.,1933,2,47.79713114754099,0.0
1934-02-01,Auerbach i. Vogtld.,1934,2,28.08215687273839,0.0
1935-02-01,Auerbach i. Vogtld.,1935,2,41.3923339968356,0.0
1936-02-01,Auerbach i. Vogtld.,1936,2,46.92127029510875,0.0
1932-02-01,Bad Homburg v. d. H.,1932,2,51.49715265446084,0.0
1933-02-01,Bad Homburg v. d. H.,1933,2,36.16777998435337,0.0
1934-02-01,Bad Homburg v. d. H.,1934,2,29.527091254752854,0.0
1935-02-01,Bad Homburg v. d. H.,1935,2,28.70699881376038,0.0
1936-02-01,Bad Homburg v. d. H.,1936,2,31.712976735883856,0.0
1932-02-01,Baden-Baden,1932,2,51.1790277960743,0.0
1933-02-01,Baden-Baden,1933,2,41.277413370436626,0.0
1934-02-01,Baden-Baden,1934,2,41.49336172761454,0.0
1935-02-01,Baden-Baden,1935,2,48.69335097585181,0.0
1936-02-01,Baden-Baden,1936,2,36.40080451053447,0.0
1932-02-01,Bamberg,1932,2,43.20236266038752,0.0
1933-02-01,Bamberg,1933,2,27.905638665132333,0.0
1934-02-01,Bamberg,1934,2,17.07044353335818,0.0
1935-02-01,Bamberg,1935,2,17.196061009921518,0.0
1936-02-01,Bamberg,1936,2,18.87001068809199,0.0
1932-02-01,Bautzen,1932,2,60.615835049500035,0.0
1933-02-01,Bautzen,1933,2,40.7752389268908,0.0
1934-02-01,Bautzen,1934,2,26.718832005343764,0.0
1935-02-01,Bautzen,1935,2,23.882017126546145,0.0
1936-02-01,Bautzen,1936,2,25.68872987477639,0.0
1932-02-01,Bayreuth,1932,2,37.29987509935279,0.0
1933-02-01,Bayreuth,1933,2,22.841796334237777,0.0
1934-02-01,Bayreuth,1934,2,12.5319414994835,0.0
1935-02-01,Bayreuth,1935,2,16.888888888888886,0.0
1936-02-01,Bayreuth,1936,2,17.70628087127858,0.0
1932-02-01,Beckum,1932,2,66.00319218852691,0.0
1933-02-01,Beckum,1933,2,53.72679164050587,0.0
1934-02-01,Beckum,1934,2,26.902716306517398,0.0
1935-02-01,Beckum,1935,2,18.200818601410784,0.0
1936-02-01,Beckum,1936,2,15.101256983240225,0.0
1932-02-01,Belgard a. d. Pers,1932,2,57.49979979178345,0.0
1933-02-01,Belgard a. d. Pers,1933,2,37.32539500801465,0.0
1934-02-01,Belgard a. d. Pers,1934,2,2.0645922430320014,0.0
1935-02-01,Belgard a. d. Pers,1935,2,38.913091634054496,0.0
1936-02-01,Belgard a. d. Pers,1936,2,26.600840026527152,0.0
1932-02-01,Bendorf,1932,2,88.80719744606752,0.0
1933-02-01,Bendorf,1933,2,44.065457413249206,0.0
1934-02-01,Bendorf,1934,2,26.700000000000003,0.0
