DATE,Gemeinde,YEAR,MONTH,tot_unt_Arbeitslose_Einw,aircraft,i
1934-02-01,Altona,1934,2,35.71944748415336,0.0,26
1935-02-01,Altona,1935,2,28.833193010688024,0.0,26
1936-02-01,Altona,1936,2,26.11739364566505,0.0,26
1932-02-01,Amberg,1932,2,65.80846054530265,0.0,27
1933-02-01,Amberg,1933,2,44.83675579849313,0.0,27
1934-02-01,Amberg,1934,2,34.41537292367821,0.0,27
1935-02-01,Amberg,1935,2,32.70166642088188,0.0,27
1936-02-01,Amberg,1936,2,29.200044298423713,0.0,27
1932-02-01,Ammendorf,1932,2,104.5005666180994,0.0,28
1933-02-01,Ammendorf,1933,2,54.93171471927162,0.0,28
1934-02-01,Ammendorf,1934,2,17.971014492753625,0.0,28
1935-02-01,Ammendorf,1935,2,9.78757340680055,0.0,28
1936-02-01,Ammendorf,1936,2,14.285714285714285,0.0,28
1932-02-01,Andernach,1932,2,43.00146792159572,0.0,29
1933-02-01,Andernach,1933,2,24.805832937074022,0.0,29
1934-02-01,Andernach,1934,2,10.450880859958195,0.0,29
1935-02-01,Andernach,1935,2,15.291494106403313,0.0,29
1936-02-01,Andernach,1936,2,15.482841181165202,0.0,29
1932-02-01,Anklam,1932,2,80.80671358960477,0.0,30
1933-02-01,Anklam,1933,2,57.5281777314483,0.0,30
1934-02-01,Anklam,1934,2,2.9154518950437316,0.0,30
1935-02-01,Anklam,1935,2,0.4,0.0,30
1936-02-01,Anklam,1936,2,34.060202350279646,0.0,30
1932-02-01,Annaberg,1932,2,71.49917627677101,0.0,31
1933-02-01,Annaberg,1933,2,49.54695438118682,0.0,31
1934-02-01,Annaberg,1934,2,33.05324964567726,0.0,31
1935-02-01,Annaberg,1935,2,34.78743815005554,0.0,31
1936-02-01,Annaberg,1936,2,25.11265252392284,0.0,31
1932-02-01,Ansbach,1932,2,44.29976324895283,0.0,32
1933-02-01,Ansbach,1933,2,40.86346273429866,0.0,32
1934-02-01,Ansbach,1934,2,21.416732094565123,0.0,32
1935-02-01,Ansbach,1935,2,11.300168853097805,0.0,32
1936-02-01,Ansbach,1936,2,15.2983615107132,0.0,32
1932-02-01,Apolda,1932,2,75.30647985989492,0.0,33
1933-02-01,Apolda,1933,2,42.12637913741224,0.0,33
1934-02-01,Apolda,1934,2,43.10809354456299,0.0,33
1935-02-01,Apolda,1935,2,58.60147402480676,0.0,33
1936-02-01,Apolda,1936,2,40.59875080766746,0.0,33
1932-02-01,Arnsberg,1932,2,28.006449970296188,0.0,34
1933-02-01,Arnsberg,1933,2,15.992631667085321,0.0,34
1934-02-01,Arnsberg,1934,2,7.295639197479688,0.0,34
1935-02-01,Arnsberg,1935,2,7.787903893951947,0.0,34
1936-02-01,Arnsberg,1936,2,11.967646087817762,0.0,34
